country,region
Afghanistan,Asia
Albania,Europe
Algeria,Africa
American Samoa,Australia and Oceania
Andorra,Europe
Angola,Africa
Anguilla,Caribbean
Antigua and Barbuda,Caribbean
Argentina,South America
Armenia,Europe
Aruba,South America
Australia,Australia and Oceania
Austria,Europe
Azerbaijan,Europe
Bahamas,Caribbean
Bahrain,Asia
Bangladesh,Asia
Barbados,Caribbean
Belarus,Europe
Belgium,Europe
Belize,Central America
Benin,Africa
Bermuda,Caribbean
Bhutan,Asia
Bolivia,South America
Bonaire,South America
Bosnia-Herzegovina,Europe
Botswana,Africa
Brazil,South America
British Virgin Islands,Caribbean
Brunei,Asia
Bulgaria,Europe
Burkina Faso,Africa
Burundi,Africa
Cambodia,Asia
Cameroon,Africa
Canada,North America
Cape Verde,Africa
Cayman Islands,Caribbean
Central African Republic,Africa
Chad,Africa
Chile,South America
China,Asia
Taiwan,Asia
Colombia,South America
Comoros,Africa
Congo,Africa
Congo DR,Africa
Cook Islands,Australia and Oceania
Costa Rica,Central America
Croatia,Europe
Cuba,Caribbean
Curaçao,South America
Cyprus,Europe
Czech Republic,Europe
Denmark,Europe
Djibouti,Africa
Dominica,Caribbean
Dominican Republic,Caribbean
Ecuador,South America
Egypt,Africa
El Salvador,Central America
England,Europe
Equatorial Guinea,Africa
Eritrea,Africa
Estonia,Europe
Ethiopia,Africa
Faroe Islands,Europe
Fiji,Australia and Oceania
Finland,Europe
France,Europe
French Guyana,South America
French Polynesia,Australia and Oceania
Macedonia,Europe
Gabon,Africa
Gambia,Africa
Georgia,Europe
Germany,Europe
Ghana,Africa
Gibraltar,Europe
Greece,Europe
Grenada,Caribbean
Guadeloupe,Caribbean
Guam,Australia and Oceania
Guatemala,Central America
Guinea,Africa
Guinea-Bissau,Africa
Guyana,South America
Haiti,Caribbean
Honduras,Central America
Hong Kong,Asia
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran,Asia
Iraq,Asia
Israel,Asia
Italy,Europe
Ivory Coast,Africa
Jamaica,Caribbean
Japan,Asia
Jordan,Asia
Kazakhstan,Europe
Kenya,Africa
Kiribati,Australia and Oceania
Korea DPR,Asia
Korea Republic,Asia
Kosovo,Europe
Kuwait,Asia
Kyrgyzstan,Asia
Laos,Asia
Latvia,Europe
Lebanon,Asia
Lesotho,Africa
Liberia,Africa
Libya,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Macau,Asia
Madagascar,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Martinique,Caribbean
Mauritania,Africa
Mauritius,Africa
Mexico,North America
Moldova,Europe
Mongolia,Asia
Montenegro,Europe
Montserrat,Caribbean
Morocco,Africa
Mozambique,Africa
Burma,Asia
Namibia,Africa
Nepal,Asia
Netherlands,Europe
Netherlands Antilles,Caribbean
New Caledonia,Australia and Oceania
New Zealand,Australia and Oceania
Nicaragua,Central America
Niger,Africa
Nigeria,Africa
Niue,Australia and Oceania
Northern Ireland,Europe
Northern Mariana Islands,Australia and Oceania
Norway,Europe
Oman,Asia
Pakistan,Asia
Palestine,Asia
Panama,Central America
Papua New Guinea,Australia and Oceania
Paraguay,South America
Peru,South America
Philippines,Asia
Poland,Europe
Portugal,Europe
Puerto Rico,Caribbean
Qatar,Asia
Réunion,Africa
Ireland,Europe
Romania,Europe
Russia,Europe
Rwanda,Africa
St. Kitts and Nevis,Caribbean
St. Lucia,Caribbean
Samoa,Australia and Oceania
San Marino,Europe
São Tomé and Príncipe,Africa
Saudi Arabia,Asia
Scotland,Europe
Senegal,Africa
Serbia,Europe
Serbia and Montenegro,Europe
Seychelles,Africa
Sierra Leone,Africa
Singapore,Asia
Slovakia,Europe
Slovenia,Europe
Solomon Islands,Australia and Oceania
Somalia,Africa
South Africa,Africa
South Sudan,Africa
Spain,Europe
Sri Lanka,Asia
Sudan,Africa
Swaziland,Africa
Sweden,Europe
Switzerland,Europe
Syria,Asia
Tahiti,Australia and Oceania
Tajikistan,Asia
Tanzania,Africa
Thailand,Asia
East Timor,Asia
Togo,Africa
Tonga,Australia and Oceania
Tunisia,Africa
Turkey,Europe
Turkmenistan,Asia
Tuvalu,Australia and Oceania
Uganda,Africa
Ukraine,Europe
United Arab Emirates,Asia
Uruguay,South America
Uzbekistan,Asia
Yugoslavia,Europe
Vanuatu,Australia and Oceania
Venezuela,South America
Vietnam,Asia
Wales,Europe
Yemen,Asia
Zambia,Africa
Zimbabwe,Africa
Sint Maarten,Caribbean
St. Martin,Caribbean
St. Vincent and the Grenadines,Caribbean
Suriname,South America
Trinidad and Tobago,South America
Turks and Caicos Islands,Caribbean
USA,North America
Virgin Islands,Caribbean
Abkhazia,Europe
Artsakh,Europe
Chameria,Europe
County of Nice,Europe
Délvidék,Europe
Donetsk,Europe
Ellan Vannin,Europe
Felvidék,Europe
Franconia,Europe
Greenland,Europe
Kárpátalja,Europe
Luhansk,Europe
Monaco,Europe
Northern Cyprus,Europe
Occitania,Europe
Padania,Europe
Jersey Parishes of Jersey,Europe
Raetia,Europe
Romani people,Europe
Sápmi,Europe
Skåneland,Europe
South Ossetia,Europe
Székely Land,Europe
Transnistria,Europe
Western Armenia,Europe
Yorkshire,Europe
Arameans Suryoye,Asia
Iraqi Kurdistan,Asia
Lezgians,Asia
Panjab,Asia
Rohingya people,Asia
Ryūkyū,Asia
Tamil Eelam,Asia
Tibet,Asia
United Koreans in Japan,Asia
Uyghur,Asia
Barawa,Africa
Barotseland,Africa
Chagos Islands,Africa
Darfur,Africa
Kabylia,Africa
Matabeleland,Africa
Somaliland,Africa
Western Sahara,Africa
Zanzibar,Africa
Cascadia,North America
Quebec,North America
Yemen DPR,Asia
Czechoslovakia,Europe
German DR,Europe
Vietnam Republic,Asia
Saarland,Europe
Manchukuo,Asia
North Vietnam,Asia
Wallis Islands and Futuna,Australia and Oceania
Palau,Australia and Oceania
Åland Islands,Europe
Ynys Môn,Europe
Jersey,Europe
Guernsey,Europe
Shetland,Europe
Isle of Wight,Europe
Isle of Man,Europe
Frøya,Europe
Hitra,Europe
Gotland,Europe
Saare County,Europe
Rhodes,Europe
Micronesia FS,Australia and Oceania
Orkney,Europe
Sark,Europe
Alderney,Europe
Mayotte,Africa
Western Isles,Europe
Falkland Islands,South America
Republic of St. Pauli,Europe
Găgăuzia,Europe
Crimea,Europe
Menorca,Europe
Provence,Europe
Gozo,Europe
St. Pierre & Miquelon,North America
Western Australia,Australia and Oceania
Vatican,Europe
Two Sicilies,Europe